iter	Passed	Remaining
403	11856	17491
404	11894	17474
405	11925	17447
406	11951	17413
407	11982	17386
408	12016	17363
409	12046	17335
410	12081	17313
411	12114	17290
412	12141	17256
413	12178	17238
414	12219	17225
415	12247	17194
416	12280	17169
417	12318	17151
418	12350	17125
419	12380	17096
420	12413	17071
421	12445	17045
422	12477	17019
423	12509	16994
424	12542	16969
425	12577	16947
426	12612	16925
427	12644	16898
428	12688	16888
429	12727	16870
430	12760	16846
431	12795	16824
432	12829	16799
433	12858	16769
434	12884	16734
435	12912	16702
436	12941	16672
437	12967	16638
438	12995	16607
439	13030	16584
440	13062	16557
441	13090	16525
442	13116	16491
443	13152	16470
444	13183	16442
445	13212	16411
446	13245	16386
447	13278	16361
448	13308	16331
449	13335	16299
450	13364	16267
451	13394	16238
452	13425	16210
453	13461	16188
454	13491	16159
455	13522	16131
456	13549	16099
457	13578	16068
458	13611	16043
459	13647	16020
460	13679	15994
461	13710	15966
462	13742	15938
463	13774	15912
464	13806	15884
465	13835	15854
466	13861	15820
467	13890	15789
468	13921	15761
469	13946	15727
470	13973	15694
471	14000	15661
472	14026	15627
473	14052	15593
474	14079	15561
475	14107	15530
476	14140	15504
477	14173	15478
478	14201	15446
479	14227	15413
480	14255	15381
481	14282	15349
482	14307	15315
483	14337	15285
484	14370	15259
485	14403	15233
486	14440	15210
487	14468	15180
488	14499	15151
489	14523	15116
490	14553	15087
491	14585	15060
492	14619	15034
493	14647	15003
494	14675	14972
495	14705	14942
496	14739	14917
497	14771	14890
498	14804	14863
499	14833	14833
500	14862	14802
501	14892	14773
502	14916	14738
503	14943	14705
504	14969	14672
505	14999	14643
506	15027	14612
507	15051	14577
508	15077	14544
509	15102	14510
510	15128	14477
511	15162	14451
512	15187	14417
513	15214	14385
514	15241	14353
515	15265	14319
516	15292	14287
517	15318	14253
518	15346	14222
519	15370	14188
520	15397	14155
521	15424	14124
522	15450	14091
523	15484	14065
524	15511	14033
525	15538	14002
526	15568	13973
527	15596	13942
528	15625	13912
529	15650	13878
530	15680	13849
531	15712	13821
532	15745	13795
533	15776	13767
534	15808	13739
535	15845	13717
536	15878	13690
537	15911	13664
538	15941	13634
539	15977	13610
540	16009	13583
541	16048	13561
542	16090	13541
543	16125	13517
544	16170	13500
545	16208	13477
546	16242	13451
547	16279	13427
548	16322	13408
549	16355	13381
550	16382	13349
551	16417	13324
552	16453	13299
553	16489	13274
554	16523	13248
555	16554	13219
556	16589	13194
557	16618	13163
558	16647	13133
559	16678	13104
560	16708	13074
561	16740	13046
562	16769	13016
563	16794	12982
564	16821	12951
565	16848	12918
566	16872	12885
567	16904	12856
568	16940	12831
569	16968	12800
570	16992	12766
571	17022	12737
572	17047	12703
573	17073	12671
574	17102	12641
575	17139	12616
576	17169	12587
577	17196	12555
578	17223	12523
579	17249	12491
580	17272	12456
581	17304	12428
582	17337	12401
583	17365	12369
584	17398	12342
585	17425	12310
586	17452	12279
587	17481	12249
588	17514	12221
589	17543	12191
590	17583	12168
591	17616	12141
592	17648	12112
593	17678	12083
594	17710	12054
595	17739	12024
596	17768	11994
597	17800	11965
598	17829	11935
599	17861	11907
600	17895	11880
601	17928	11853
602	17959	11824
603	17985	11791
604	18013	11760
605	18046	11733
606	18078	11704
607	18111	11676
608	18146	11650
609	18177	11621
610	18209	11593
611	18242	11565
612	18278	11539
613	18309	11510
614	18342	11482
615	18375	11454
616	18404	11424
617	18438	11397
618	18465	11365
619	18495	11335
620	18524	11305
621	18558	11278
622	18584	11246
623	18607	11212
624	18630	11178
625	18655	11145
626	18678	11111
627	18706	11080
628	18729	11046
629	18752	11013
630	18776	10979
631	18800	10947
632	18824	10913
633	18848	10880
634	18873	10848
635	18898	10816
636	18920	10782
637	18946	10750
638	18973	10719
639	19004	10690
640	19027	10656
641	19054	10625
642	19081	10594
643	19118	10568
644	19144	10536
645	19174	10507
646	19236	10495
647	19291	10479
648	19350	10465
649	19391	10441
650	19440	10421
651	19485	10400
652	19526	10376
653	19567	10352
654	19600	10323
655	19639	10298
656	19669	10268
657	19712	10245
658	19756	10222
659	19793	10196
660	19836	10173
661	19876	10148
662	19915	10123
663	19957	10099
664	19994	10072
665	20028	10044
666	20067	10018
667	20108	9993
668	20148	9968
669	20199	9949
670	20249	9928
671	20289	9903
672	20321	9874
673	20350	9843
674	20379	9812
675	20404	9779
676	20434	9749
677	20462	9718
678	20488	9685
679	20517	9655
680	20548	9625
681	20579	9595
682	20605	9563
683	20634	9533
684	20665	9502
685	20694	9472
686	20722	9441
687	20750	9410
688	20783	9381
689	20811	9350
690	20836	9317
691	20863	9286
692	20889	9254
693	20914	9221
694	20943	9191
695	20970	9159
696	20997	9128
697	21027	9097
698	21054	9066
699	21082	9035
700	21116	9006
701	21147	8977
702	21176	8946
703	21211	8918
704	21243	8889
705	21272	8858
706	21299	8826
707	21328	8796
708	21356	8765
709	21381	8733
710	21408	8701
711	21436	8670
712	21463	8639
713	21493	8609
714	21525	8580
715	21555	8550
716	21581	8518
717	21610	8487
718	21639	8457
719	21666	8425
720	21692	8394
721	21720	8363
722	21745	8331
723	21773	8300
724	21797	8268
725	21823	8236
726	21847	8204
727	21875	8173
728	21901	8141
729	21924	8109
730	21949	8077
731	21974	8045
732	22001	8014
733	22025	7982
734	22051	7950
735	22076	7918
736	22107	7889
737	22130	7856
738	22158	7825
739	22189	7796
740	22216	7765
741	22248	7735
742	22273	7704
743	22304	7674
744	22335	7644
745	22361	7613
746	22387	7582
747	22415	7551
748	22442	7520
749	22469	7489
750	22502	7461
751	22530	7430
752	22557	7399
753	22583	7368
754	22606	7335
755	22634	7305
756	22661	7274
757	22691	7244
758	22722	7214
759	22750	7184
760	22778	7153
761	22804	7122
762	22831	7091
763	22859	7061
764	22886	7030
765	22916	7000
766	22943	6969
767	22968	6938
768	22993	6906
769	23017	6875
770	23041	6843
771	23066	6812
772	23098	6783
773	23124	6752
774	23148	6720
775	23171	6688
776	23197	6657
777	23223	6626
778	23249	6595
779	23273	6564
780	23299	6533
781	23322	6501
782	23354	6472
783	23382	6441
784	23411	6412
785	23451	6385
786	23477	6354
787	23503	6323
788	23531	6293
789	23555	6261
790	23583	6231
791	23610	6200
792	23636	6170
793	23666	6140
794	23695	6110
795	23725	6080
796	23753	6050
797	23783	6020
798	23809	5989
799	23834	5958
800	23864	5928
801	23893	5898
802	23920	5868
803	23951	5838
804	23980	5808
805	24007	5778
806	24032	5747
807	24058	5716
808	24092	5687
809	24114	5656
810	24141	5626
811	24166	5595
812	24192	5564
813	24215	5533
814	24238	5502
815	24260	5470
816	24285	5439
817	24309	5408
818	24334	5378
819	24359	5347
820	24384	5316
821	24409	5285
822	24432	5254
823	24457	5223
824	24480	5192
825	24512	5163
826	24542	5133
827	24567	5103
828	24593	5072
829	24623	5043
830	24649	5012
831	24676	4982
832	24703	4952
833	24730	4922
834	24765	4893
835	24790	4863
836	24817	4833
837	24845	4803
838	24873	4773
839	24904	4743
840	24930	4713
841	24961	4683
842	25003	4656
843	25030	4626
844	25057	4596
845	25090	4567
846	25117	4537
847	25144	4507
848	25172	4477
849	25205	4448
850	25238	4418
851	25274	4390
852	25308	4361
853	25342	4332
854	25379	4304
855	25425	4277
856	25470	4249
857	25503	4220
858	25538	4191
859	25570	4162
860	25598	4132
861	25622	4101
862	25653	4072
863	25685	4043
864	25717	4013
865	25746	3983
866	25773	3953
867	25805	3924
868	25833	3894
869	25857	3863
870	25890	3834
871	25918	3804
872	25949	3774
873	25977	3745
874	26006	3715
875	26031	3684
876	26054	3654
877	26088	3625
878	26114	3594
879	26137	3564
880	26180	3536
881	26208	3506
882	26237	3476
883	26264	3446
884	26293	3416
885	26323	3386
886	26349	3356
887	26377	3326
888	26401	3296
889	26429	3266
890	26456	3236
891	26483	3206
892	26510	3176
893	26538	3146
894	26564	3116
895	26592	3086
896	26618	3056
897	26646	3026
898	26680	2997
899	26711	2967
900	26745	2938
901	26776	2909
902	26810	2879
903	26840	2850
904	26868	2820
905	26899	2790
906	26928	2761
907	26961	2731
908	26989	2701
909	27015	2671
910	27045	2642
911	27081	2613
912	27109	2583
913	27135	2553
914	27163	2523
915	27193	2493
916	27223	2464
917	27249	2434
918	27276	2404
919	27301	2374
920	27333	2344
921	27362	2314
922	27389	2284
923	27417	2255
924	27443	2225
925	27470	2195
926	27496	2165
927	27524	2135
928	27548	2105
929	27580	2075
930	27608	2046
931	27637	2016
932	27663	1986
933	27693	1956
934	27726	1927
935	27758	1897
936	27782	1867
937	27809	1838
938	27838	1808
939	27869	1778
940	27901	1749
941	27935	1720
942	27969	1690
943	28002	1661
944	28028	1631
945	28058	1601
946	28088	1571
947	28119	1542
948	28153	1513
949	28188	1483
950	28227	1454
951	28256	1424
952	28284	1394
953	28310	1365
954	28338	1335
955	28364	1305
956	28393	1275
957	28422	1246
958	28449	1216
959	28475	1186
960	28504	1156
961	28529	1126
962	28556	1097
963	28583	1067
964	28609	1037
965	28637	1007
966	28663	978
967	28687	948
968	28714	918
969	28744	889
970	28777	859
971	28811	829
972	28838	800
973	28868	770
974	28897	740
975	28923	711
976	28953	681
977	28982	651
978	29013	622
979	29045	592
980	29083	563
981	29113	533
982	29139	503
983	29165	474
984	29193	444
985	29226	414
986	29255	385
987	29285	355
988	29313	326
989	29337	296
990	29364	266
991	29387	236
992	29413	207
993	29436	177
994	29463	148
995	29487	118
996	29514	88
997	29539	59
998	29565	29
999	29591	0
