iter	RMSE
258	1424.163953
259	1422.722317
260	1419.666947
261	1416.707703
262	1412.295617
263	1408.090264
264	1405.347274
265	1402.210071
266	1397.766605
267	1395.918376
268	1391.213575
269	1389.155707
270	1387.764055
271	1383.883734
272	1381.838601
273	1378.25529
274	1375.063058
275	1370.805648
276	1368.952645
277	1364.614801
278	1362.866785
279	1357.628176
280	1353.207626
281	1349.568038
282	1346.009679
283	1342.699539
284	1339.152592
285	1334.897895
286	1329.904294
287	1327.084833
288	1324.54366
289	1320.899289
290	1318.086456
291	1317.328671
292	1313.249288
293	1308.781833
294	1307.663025
295	1303.516097
296	1299.521163
297	1296.928718
298	1295.340875
299	1289.913715
300	1287.936017
301	1282.905352
302	1280.337228
303	1277.712446
304	1274.33291
305	1272.204026
306	1268.081968
307	1264.136596
308	1260.94326
309	1257.711581
310	1255.926869
311	1252.699786
312	1249.182413
313	1245.501622
314	1242.454293
315	1238.742816
316	1235.788979
317	1234.869628
318	1229.491701
319	1227.921663
320	1225.677403
321	1222.912556
322	1221.592073
323	1218.888656
324	1215.863965
325	1212.556367
326	1208.882728
327	1204.830252
328	1203.247323
329	1200.75458
330	1197.748792
331	1196.007096
332	1194.838112
333	1189.587997
334	1187.441791
335	1185.149541
336	1183.192131
337	1179.176548
338	1176.904981
339	1175.193617
340	1172.926235
341	1168.812957
342	1167.806226
343	1164.756539
344	1161.102776
345	1156.72596
346	1154.222037
347	1152.598546
348	1148.779131
349	1146.568594
350	1146.16363
351	1142.238449
352	1140.642103
353	1138.215294
354	1136.146106
355	1134.024052
356	1132.681218
357	1131.146511
358	1129.163904
359	1126.801317
360	1122.76763
361	1118.619506
362	1116.20217
363	1114.984908
364	1111.125537
365	1109.626952
366	1107.01826
367	1104.151987
368	1101.566356
369	1098.837294
370	1096.440316
371	1095.271608
372	1092.227217
373	1090.427354
374	1086.587431
375	1083.763291
376	1081.632335
377	1080.289858
378	1078.371677
379	1076.825192
380	1075.326601
381	1074.167877
382	1072.507086
383	1071.989661
384	1069.600206
385	1067.716706
386	1064.837849
387	1061.692186
388	1059.38948
389	1057.947453
390	1057.389506
391	1056.413463
392	1054.723737
393	1053.36374
394	1049.546101
395	1048.503042
396	1045.277467
397	1043.228372
398	1040.542381
399	1037.795856
400	1035.890776
401	1032.252973
402	1028.544701
403	1025.065626
404	1023.525885
405	1021.697209
406	1020.543477
407	1017.565586
408	1016.164266
409	1013.416624
410	1011.873041
411	1009.650524
412	1007.855391
413	1006.301958
414	1005.488787
415	1002.929381
416	1001.065394
417	997.7188983
418	994.5984208
419	993.2960236
420	991.7041667
421	989.1281586
422	986.7725389
423	984.8263088
424	981.8121073
425	980.80829
426	980.4390835
427	979.0311958
428	977.575466
429	976.4139701
430	974.9733337
431	974.0288272
432	972.7852108
433	970.0181931
434	968.9072189
435	967.5916595
436	965.9055136
437	964.4160181
438	963.268963
439	961.4676787
440	959.2148678
441	957.3212648
442	955.7266617
443	953.9681718
444	952.1532286
445	951.0828423
446	949.7466386
447	948.7180288
448	947.3498893
449	946.5141017
450	943.2407909
451	938.9172199
452	937.7406356
453	935.6864027
454	933.6295869
455	932.3902878
456	930.4856055
457	929.3227266
458	926.454416
459	925.0516374
460	922.6997684
461	920.88232
462	919.9305398
463	919.2620363
464	918.3208122
465	917.9457437
466	915.2647032
467	914.0397095
468	911.0572736
469	909.2395375
470	908.2129384
471	907.5397866
472	906.1330193
473	903.2529471
474	901.2526366
475	899.6323717
476	896.7045498
477	894.0785345
478	892.7211604
479	891.7521923
480	889.5977642
481	887.1627407
482	886.2666273
483	885.2150986
484	884.3980569
485	883.1939952
486	880.6473631
487	878.8437193
488	878.220155
489	876.7469721
490	875.6082612
491	874.7313702
492	871.7559979
493	870.4859366
494	870.20905
495	869.2172515
496	867.6511623
497	867.171566
498	864.936376
499	862.4844363
500	859.7869719
501	858.0091298
502	856.4395901
503	855.2489538
504	852.9960231
505	852.1011214
506	851.1790089
507	849.7784948
508	848.7036355
509	847.4401267
510	845.7989411
511	844.4037669
512	842.8236993
513	841.1713949
514	839.5623298
515	838.0974855
516	836.6135289
517	835.1760086
518	833.7191811
519	832.1203514
520	829.8582015
521	827.6032882
522	826.9189576
523	825.7207904
524	825.1243278
525	823.5018293
526	822.2974178
527	821.7100003
528	820.4914647
529	818.9070441
530	817.6033155
531	817.0585629
532	815.0013234
533	814.042308
534	812.7025668
535	811.1029519
536	809.8223905
537	807.5117683
538	804.838597
539	804.014936
540	802.72822
541	801.7883179
542	800.9688181
543	800.4748131
544	798.7955649
545	797.526941
546	796.762932
547	796.0625452
548	795.0074108
549	793.3407412
550	791.1876945
551	790.4345142
552	789.2557006
553	787.726733
554	786.7510055
555	785.5038487
556	783.9276374
557	782.3708071
558	780.3392824
559	778.8521627
560	778.1216518
561	777.2675482
562	775.7439958
563	774.7439384
564	774.3151615
565	772.9618073
566	772.3891827
567	771.6552392
568	770.5523495
569	769.2353101
570	768.6987248
571	767.1791747
572	765.4535306
573	764.806569
574	763.8920208
575	761.9737601
576	761.3925096
577	760.8715178
578	759.6486123
579	758.5291114
580	757.6408189
581	757.0271052
582	755.7395783
583	754.6010482
584	752.7183971
585	752.0177936
586	750.8095639
587	749.3872845
588	748.4296294
589	746.5669614
590	744.6578146
591	743.7493836
592	743.0010658
593	742.2613323
594	740.3613471
595	738.5262321
596	737.8487644
597	737.2297382
598	736.392953
599	735.1876711
600	734.2028397
601	733.5716091
602	732.5786763
603	731.1864035
604	730.3891621
605	728.6322957
606	727.209648
607	725.572637
608	724.3868785
609	722.8587517
610	722.1949647
611	721.1206324
612	719.7490291
613	718.816767
614	718.1932517
615	717.014011
616	716.079402
617	714.9969328
618	714.2838658
619	713.0817651
620	711.8234788
621	710.9156058
622	709.9189934
623	708.5972897
624	707.4533859
625	706.9665381
626	705.7277354
627	703.6614647
628	702.4590144
629	701.4880957
630	700.7094841
631	698.7983086
632	697.7764064
633	696.4583246
634	694.9815749
635	694.1875496
636	692.9476497
637	691.8874197
638	691.0012698
639	689.760765
640	688.9132785
641	687.5900257
642	686.6065322
643	684.9480355
644	684.0243355
645	683.2072589
646	682.1719092
647	680.7224432
648	679.5773838
649	678.8186447
650	677.6279738
651	676.807149
652	675.607903
653	675.037903
654	673.7545632
655	673.2602509
656	672.4107168
657	671.3075513
658	670.6907229
659	670.0892987
660	669.5131441
661	668.6030041
662	667.4831713
663	666.3837954
664	665.3953425
665	664.2370878
666	663.7585329
667	663.4224336
668	661.9370908
669	661.5858859
670	661.172229
671	660.5879082
672	659.5622269
673	658.4841408
674	657.9532704
675	657.1302443
676	656.6450735
677	655.5916844
678	654.5142161
679	653.3314478
680	652.0974131
681	650.5317196
682	649.8519526
683	649.2354877
684	647.9853341
685	647.2175108
686	646.1443994
687	644.0233418
688	642.2178847
689	641.4101811
690	640.439886
691	639.876029
692	639.3969097
693	638.7268316
694	637.6194255
695	636.6162708
696	635.87081
697	634.6978307
698	633.7032574
699	632.9734784
700	632.0788896
701	631.454559
702	630.778741
703	630.1021863
704	629.3160082
705	628.4698865
706	626.9556383
707	626.0005437
708	625.095482
709	623.7273156
710	623.2872883
711	621.6165639
712	621.1287179
713	619.936224
714	619.3588495
715	618.6651658
716	617.3159149
717	616.4166655
718	615.4857968
719	614.9642021
720	614.0739478
721	613.1009833
722	612.3387405
723	611.3501828
724	609.9675298
725	609.3238371
726	608.6756121
727	608.0763448
728	607.4090668
729	606.5426662
730	605.8365397
731	604.4172675
732	603.3780568
733	602.3973329
734	600.969999
735	600.3263626
736	599.4865997
737	598.694227
738	597.7860903
739	597.2809532
740	597.0150302
741	596.3989763
742	595.7807886
743	595.2709363
744	594.4362002
745	593.7448025
746	592.5679195
747	591.5474607
748	590.6268042
749	590.3235877
750	589.3373487
751	589.0988882
752	588.6504574
753	588.1896058
754	587.4126182
755	586.4898001
756	585.3094186
757	584.5871305
758	583.8640624
759	582.7213709
760	581.8690279
761	581.6131178
762	580.6114443
763	578.9722807
764	578.5668951
765	578.0019592
766	577.042099
767	575.8639906
768	574.9724193
769	574.3481539
770	573.6346812
771	573.2103337
772	572.4169988
773	571.2474476
774	570.2763585
775	569.7741395
776	568.8882517
777	568.1835918
778	567.5392308
779	566.9146884
780	566.3782202
781	566.1429294
782	565.1905352
783	564.2250865
784	562.9598387
785	562.5836925
786	562.1558336
787	561.404401
788	560.5109526
789	559.8923117
790	559.0626247
791	558.7236791
792	557.6368409
793	557.2419248
794	556.3218918
795	555.856683
796	554.9916812
797	554.2286811
798	553.6264838
799	552.9685082
800	552.511117
801	551.3991899
802	550.9088597
803	550.2493663
804	549.2498056
805	548.56153
806	548.1054033
807	547.5956235
808	546.9648831
809	546.04785
810	545.1441481
811	544.4167018
812	543.6421829
813	542.9957792
814	542.1497338
815	541.4862699
816	540.9793208
817	540.1246245
818	538.8602765
819	538.346654
820	537.7062026
821	537.1433481
822	536.2008652
823	535.9967519
824	535.517602
825	534.8336208
826	534.0877767
827	533.4685076
828	532.4800383
829	531.9384014
830	531.4526695
831	531.1920254
832	530.8214132
833	530.0892717
834	529.2529928
835	528.875623
836	528.0762629
837	527.5559682
838	526.9941961
839	526.7136567
840	526.0502794
841	525.6538488
842	524.7688963
843	523.9781224
844	523.5178158
845	523.0787847
846	522.45882
847	521.9471602
848	521.3229385
849	520.1143548
850	519.8514487
851	518.7657273
852	518.5155837
853	517.9639115
854	517.6304787
855	517.1875857
856	516.3082147
857	515.4987767
858	515.0835833
859	514.5248158
860	513.4983296
861	513.3184456
862	512.7301783
863	512.370461
864	511.5040009
865	510.9068546
866	510.4196822
867	509.914617
868	508.9023507
869	508.5354232
870	507.7770549
871	507.3588395
872	506.6819238
873	506.1285844
874	505.6985716
875	505.2267859
876	504.5449298
877	503.7748741
878	503.2517003
879	503.0222428
880	501.8866541
881	500.9486253
882	500.4205111
883	499.579081
884	498.829796
885	497.9227379
886	497.1134667
887	496.5521396
888	496.3149994
889	495.5737846
890	495.1493981
891	494.3722536
892	493.5481623
893	493.1136706
894	492.7217661
895	492.1873937
896	491.5643479
897	490.8814822
898	490.2781374
899	489.6629304
900	489.4269173
901	489.2129527
902	488.6077503
903	488.0962235
904	487.450725
905	486.6317441
906	485.9434215
907	485.5217059
908	485.2712539
909	484.7729183
910	484.1370644
911	483.643736
912	483.2228902
913	482.7803354
914	482.2152927
915	481.6008321
916	480.837569
917	480.2918912
918	479.6206518
919	478.9881124
920	478.5107786
921	477.9317936
922	477.3168361
923	476.5453166
924	475.8553824
925	475.4804986
926	475.0002594
927	474.3369336
928	473.4960067
929	473.0615592
930	472.1445925
931	471.7679345
932	470.907418
933	470.546532
934	470.0084111
935	469.5688941
936	469.0515847
937	468.5108172
938	467.8791158
939	467.3635162
940	466.8367405
941	466.1368612
942	465.763209
943	465.224676
944	464.6852892
945	464.1578808
946	463.8867646
947	463.2550027
948	462.8329554
949	462.1372317
950	461.4640998
951	460.5825757
952	459.7251853
953	458.9915319
954	458.3975213
955	458.0062021
956	457.2986299
957	456.8491633
958	456.4645896
959	455.6151493
960	454.8792524
961	454.3621762
962	453.8284174
963	453.3504306
964	452.7780243
965	452.290517
966	451.9852027
967	451.70485
968	451.1600665
969	450.6974191
970	450.1588886
971	449.7985815
972	449.3551701
973	449.0866538
974	448.5912713
975	448.1514692
976	447.5155657
977	447.1794323
978	446.1824229
979	445.6180908
980	444.9717353
981	444.0172719
982	443.477013
983	443.0812867
984	442.555073
985	442.2710373
986	441.8522556
987	441.4816734
988	440.7540932
989	440.2808096
990	439.7719985
991	439.1733579
992	438.7368344
993	438.3574341
994	437.9553735
995	437.6202309
996	437.2540428
997	436.632887
998	436.2241817
999	435.5811788
